bet	0.01	0.007943282347242814	0.00630957344480193	0.005011872336272719	0.003981071705534969	0.003162277660168376	0.002511886431509577	0.0019952623149688768	0.0015848931924611108	0.0012589254117941649	0.0009999999999999979	0.0007943282347242797	0.0006309573444801917	0.0005011872336272709	0.0003981071705534961	0.00031622776601683696	0.0002511886431509572	0.00019952623149688728	0.00015848931924611077	0.00012589254117941623	9.999999999999958e-05	7.94328234724279e-05	6.309573444801917e-05	5.011872336272715e-05	3.9810717055349695e-05	3.9810717055349695e-05
0	9593.0	9593.0	9393.0	9612.0	9669.0	9759.0	9713.0	9426.0	9698.0	9650.0	9598.0	9612.0	9712.0	9629.0	9730.0	9764.0
1	9684.0	9738.0	9661.0	9018.0	9707.0	9500.0	9661.0	9793.0	9751.0	9756.0	9638.0	9587.0	9687.0	9722.0	9636.0	9796.0
2	9625.0	9651.0	9749.0	9786.0	9643.0	9771.0	9653.0	9698.0	9730.0	9723.0	9656.0	9733.0	9580.0	9472.0	9804.0	9774.0
3	9671.0	9733.0	9794.0	9790.0	9739.0	9764.0	9663.0	9768.0	9727.0	9792.0	9734.0	9726.0	9733.0	9776.0	9759.0	9822.0
4	9653.0	9724.0	9751.0	9787.0	9767.0	9769.0	9757.0	9805.0	9792.0	9779.0	9793.0	9791.0	9722.0	9784.0	9791.0	9827.0
5	9796.0	9790.0	9776.0	9806.0	9795.0	9744.0	9762.0	9754.0	9812.0	9801.0	9805.0	9780.0	9778.0	9792.0	9788.0	9809.0
6	9815.0	9760.0	9789.0	9790.0	9788.0	9764.0	9812.0	9822.0	9650.0	9759.0	9795.0	9757.0	9794.0	9675.0	9730.0	9822.0
7	9766.0	9802.0	9821.0	9747.0	9813.0	9729.0	9741.0	9787.0	9796.0	9814.0	9803.0	9814.0	9789.0	9808.0	9780.0	9797.0
8	9806.0	9774.0	9817.0	9777.0	9786.0	9811.0	9816.0	9804.0	9775.0	9809.0	9785.0	9813.0	9828.0	9813.0	9775.0	9815.0
9	9793.0	9803.0	9804.0	9809.0	9731.0	9773.0	9805.0	9814.0	9806.0	9799.0	9821.0	9761.0	9768.0	9801.0	9807.0	9823.0
10	9797.0	9788.0	9756.0	9822.0	9806.0	9810.0	9822.0	9805.0	9812.0	9817.0	9815.0	9802.0	9822.0	9791.0	9796.0	9812.0
11	9822.0	9815.0	9777.0	9793.0	9825.0	9802.0	9815.0	9818.0	9820.0	9808.0	9800.0	9810.0	9816.0	9829.0	9783.0	9825.0
12	9824.0	9823.0	9823.0	9814.0	9832.0	9824.0	9819.0	9811.0	9810.0	9804.0	9809.0	9834.0	9825.0	9827.0	9820.0	9821.0
13	9801.0	9828.0	9823.0	9819.0	9824.0	9803.0	9826.0	9821.0	9816.0	9815.0	9827.0	9820.0	9794.0	9828.0	9820.0	9823.0
14	9823.0	9817.0	9826.0	9810.0	9820.0	9805.0	9826.0	9825.0	9824.0	9824.0	9808.0	9830.0	9823.0	9825.0	9826.0	9814.0
15	9820.0	9821.0	9823.0	9828.0	9811.0	9821.0	9823.0	9821.0	9820.0	9827.0	9820.0	9825.0	9810.0	9823.0	9825.0	9828.0
